年份,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,卡尔玛比率,总交易次数,胜率,盈亏比,params
2016,0.035615185604437105,0.0368041301377271,0.07043054347059763,0.5225592239408401,0.04833981295707329,2016-01-28,2016-06-24,0.7613626922886502,244.0,0.47950819672131145,1.1081004651009922,cci_55
2017,0.08346940146528015,0.08632101312456908,0.06986396875390583,1.2355583953243883,0.05713412887159959,2017-11-22,2017-12-27,1.510848503852446,244.0,0.5204918032786885,1.2762615055427937,cci_55
2018,-0.07650024844418013,-0.07890682844963415,0.08550821746089916,-0.9227981917143382,0.15377366405629916,2018-01-23,2018-12-13,-0.5131361662862179,244.0,0.47950819672131145,0.7992493527240024,cci_55
2019,0.030716553922881307,0.031607897677739416,0.1027243256981793,0.3076963266773689,0.07344009383373633,2019-04-19,2019-12-23,0.43039021367943336,245.0,0.4897959183673469,1.076275927683498,cci_55
2020,0.036824680241882124,0.03821429715421121,0.1365616741538614,0.27983178582854734,0.0853510319201574,2020-07-06,2020-12-22,0.44773093300101174,243.0,0.49794238683127573,1.0725274814398724,cci_55
2021,-0.0719015446463519,-0.07446290546468226,0.07825729494668739,-0.9515139197618567,0.13450671015356536,2021-02-10,2021-12-29,-0.5535999310344331,243.0,0.448559670781893,0.809155724144593,cci_55
2022,-0.021570450551581022,-0.02245171118497713,0.08418725350780297,-0.2666877733800423,0.07143181412986481,2022-03-15,2022-09-16,-0.3143096876156521,242.0,0.49586776859504134,0.9392921265470755,cci_55
2023,0.0032178022472706402,0.015690756479138646,0.06914914792032589,0.2269117834570809,0.03807806771111103,2023-01-16,2023-03-22,0.41206808596960776,52.0,0.4807692307692308,1.0401251226704613,cci_55
样本内,3.0028896279502533,0.12875090610074746,0.13570101981393193,0.948783629461929,0.21916170546489855,2009-07-27,2012-12-05,0.5874699041405685,2886.0,0.5051975051975052,1.1741899275812462,cci_55
样本外,-0.015024230314247489,-0.0025181960068065834,0.09456121846320083,-0.02663032528273266,0.16098719533427397,2021-02-10,2022-09-16,-0.0156422130441977,1513.0,0.4910773298083278,0.9939781996829848,cci_55
总体,2.9397141151622765,0.08171198231968102,0.12315682272449643,0.6634791358857307,0.21916170546489855,2009-07-27,2012-12-05,0.3728387774057006,4399.0,0.5003409865878609,1.1079917097255763,cci_55
2005,0.058192795804399955,0.06920893882572154,0.07746976236694658,0.8933671242968777,0.039662512005526555,2005-04-08,2005-06-15,1.7449459281872515,213.0,0.43661971830985913,1.2033840421376059,cci_14
2006,0.38732741163764817,0.4082133716947616,0.10072230979318746,4.052859515761143,0.04061259175716376,2006-05-15,2006-07-28,10.051399185149412,241.0,0.5684647302904564,1.9425231160014738,cci_14
2007,0.17091563135590593,0.17857504253815248,0.12856163357160424,1.38902281790541,0.10136018947714996,2007-05-29,2007-07-19,1.7617867868963424,242.0,0.5578512396694215,1.2800560484392074,cci_14
2008,-0.05965062962655199,-0.0610601833909894,0.11219207123332324,-0.5442468680697048,0.09910281940709849,2008-01-22,2008-12-23,-0.6161296293717332,246.0,0.4878048780487805,0.8993113637694716,cci_14
2009,0.22914038152053506,0.23748299760195613,0.1034202656911947,2.2962907319447705,0.05547932229386279,2009-02-16,2009-03-09,4.2805677463768665,244.0,0.5532786885245902,1.422163488679862,cci_14
2010,-0.01278913482177435,-0.013314077971384619,0.07373070833241795,-0.18057710650706824,0.09016481744312084,2010-01-05,2010-09-15,-0.14766378227054705,242.0,0.4669421487603306,0.9613875586972365,cci_14
2011,-0.024507299569211938,-0.025300567409433095,0.05614525243078226,-0.45062701322118875,0.050773495164562026,2011-03-07,2011-10-24,-0.4983026543166154,244.0,0.4139344262295082,0.9074915566986884,cci_14
2012,0.050507305493701526,0.05242616147986867,0.06493629029023754,0.8073476517606115,0.07737769493835557,2012-05-04,2012-11-14,0.6775358392574886,243.0,0.46502057613168724,1.1920953094603157,cci_14
2013,-0.03203976787939489,-0.033892165093499904,0.07943474818183147,-0.42666674055437886,0.09381045436866464,2013-02-06,2013-07-31,-0.36128345525656946,238.0,0.42436974789915966,0.9027205904790175,cci_14
2014,0.2358974540051546,0.24339898129925408,0.11172288920204174,2.1785954788466566,0.03825180414626375,2014-04-10,2014-07-10,6.363071931681112,245.0,0.4897959183673469,1.6883659266332518,cci_14
2015,-0.06179659691917616,-0.06375672985355518,0.13215779968560698,-0.48242880863049653,0.1289638322861817,2015-05-26,2015-08-19,-0.4943768242872435,244.0,0.4344262295081967,0.902616082733265,cci_14
2016,0.05163395721563124,0.0533712799084578,0.06438704291210678,0.8289133573242937,0.029369710797669844,2016-03-21,2016-05-06,1.8172218404238496,244.0,0.5081967213114754,1.212387082262113,cci_14
2017,0.06424707251410133,0.06642201597520714,0.050224197786273045,1.3225102421319546,0.03807269043827587,2017-11-22,2017-12-27,1.7446105124325715,244.0,0.4918032786885246,1.3017291745379813,cci_14
2018,-0.015234664032307443,-0.015730212182144654,0.067396242061947,-0.23339895075583428,0.08955643336878483,2018-03-28,2018-12-17,-0.1756458089098875,244.0,0.5,0.9515907781066283,cci_14
2019,0.11725907318428241,0.12080411210187081,0.07715648494837327,1.565702639029019,0.03629427094133759,2019-02-25,2019-03-28,3.3284622880874624,245.0,0.4897959183673469,1.4000600293539998,cci_14
2020,0.08126105853575893,0.08439435896236946,0.10956786154269711,0.7702473861779453,0.07794978022626957,2020-07-06,2020-12-22,1.082676034716106,243.0,0.4609053497942387,1.2155494582780182,cci_14
2021,-0.04861219902176195,-0.05036654251759576,0.059923610654684926,-0.8405124785927435,0.09448353775532817,2021-02-10,2021-12-03,-0.5330721490131275,243.0,0.43209876543209874,0.8380392661786504,cci_14
2022,-0.023022621532704846,-0.023962480878308656,0.05414422189312297,-0.44256764693394196,0.049668704282452826,2022-01-05,2022-05-24,-0.4824462651983097,242.0,0.45454545454545453,0.9179014194214102,cci_14
2023,0.004457797227120697,0.02178915324910391,0.04728364576469924,0.46081796140540277,0.03303548582036347,2023-01-16,2023-03-07,0.6595681191911764,52.0,0.4807692307692308,1.0914528345114636,cci_14
样本内,1.4000143994382577,0.07944258137443816,0.09599005652460268,0.8276126116675081,0.12896383228618175,2015-05-26,2015-08-19,0.6160066738568089,2886.0,0.4857934857934858,1.1604194197654227,cci_14
样本外,0.18982297627616496,0.02937135101137378,0.07178994574089366,0.4091290320427558,0.1499197003212074,2020-07-06,2022-05-24,0.19591388555636643,1513.0,0.47389292795769994,1.0911466450678462,cci_14
总体,1.856975128409589,0.06198147727394532,0.0884201173302241,0.7009884079033966,0.14991970032120616,2020-07-06,2022-05-24,0.4134311710945838,4399.0,0.4819277108433735,1.135269868772967,cci_14
2005,-0.05333994643338691,-0.06279366433614464,0.08863951220302758,-0.7084161766630283,0.09613651258534864,2005-02-25,2005-07-11,-0.6531718558065783,213.0,0.38967136150234744,0.8345639033479983,cmo_25
2006,0.5534280595073893,0.5849744898953131,0.15335700847301392,3.814462056347757,0.06407333402187616,2006-05-15,2006-09-01,9.12976511719507,241.0,0.5767634854771784,1.86839723699559,cmo_25
2007,0.304969793578008,0.31940260605884707,0.17289078654175674,1.847424101929831,0.0873552964565962,2007-01-29,2007-02-05,3.656362224327715,242.0,0.6033057851239669,1.3531560765034554,cmo_25
2008,0.010036021787988902,0.010282056993454525,0.13675769680352068,0.07518448492319026,0.08744996649997236,2008-09-18,2008-12-23,0.11757645434269863,246.0,0.5691056910569106,1.0154045319897285,cmo_25
2009,0.18048179108318108,0.18692121432693054,0.11717130253337908,1.595281526154252,0.09791977098590311,2009-07-27,2009-12-28,1.9089220945363568,244.0,0.5204918032786885,1.3081295486497022,cmo_25
2010,-0.021273065688353632,-0.022142314667777163,0.06897924132559119,-0.3209996839956893,0.05961095658951378,2010-10-25,2010-12-31,-0.37144706165765906,242.0,0.47520661157024796,0.9284977011412612,cmo_25
2011,-0.0584729892336503,-0.060331124206716824,0.038945653118834696,-1.5491106035024946,0.0689333107855141,2011-04-13,2011-12-09,-0.8752100184834737,244.0,0.45491803278688525,0.7195242664092781,cmo_25
